A,0,0,-0.17571644,0.220965309,-0.211915535,0.533936652,-0.184012066,0.797134238,-0.192307692,1,-0.042232278,0.696078431,0.056561086,0.880844646,-0.001508296,0.674208145,-0.050527903,0.56561086,0.118401207,0.610859729,0.201357466,0.766214178,0.085972851,0.521870287,0.036953243,0.472850679,0.246606335,0.50678733,0.330316742,0.647812971,0.191553544,0.431372549,0.139517345,0.381598793,0.365007541,0.397435897,0.417797888,0.487933635,0.300904977,0.356711916,0.250377074,0.321266968,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.192946058,0.2406639,-0.272821577,0.557053942,-0.267634855,0.809128631,-0.206431535,1,-0.082987552,0.706431535,-0.018672199,0.901452282,-0.041493776,0.705394191,-0.073651452,0.548755187,0.07780083,0.632780083,0.148340249,0.815352697,0.081950207,0.571576763,0.02593361,0.433609959,0.234439834,0.541493776,0.29253112,0.705394191,0.201244813,0.47406639,0.140041494,0.349585062,0.378630705,0.429460581,0.411825726,0.576763485,0.329875519,0.429460581,0.280082988,0.340248963,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.19047619,0.239130435,-0.268115942,0.552795031,-0.260869565,0.804347826,-0.206004141,1,-0.079710145,0.702898551,-0.013457557,0.896480331,-0.043478261,0.701863354,-0.078674948,0.546583851,0.081780538,0.626293996,0.154244306,0.804347826,0.076604555,0.562111801,0.017598344,0.427536232,0.236024845,0.534161491,0.298136646,0.699792961,0.196687371,0.467908903,0.132505176,0.342650104,0.378881988,0.420289855,0.415113872,0.568322981,0.324016563,0.420289855,0.268115942,0.329192547,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.266211604,0.179749716,-0.427758817,0.476678043,-0.431171786,0.786120592,-0.369738339,0.997724687,-0.263936291,0.756541524,-0.199089875,1,-0.192263936,0.76109215,-0.210466439,0.655290102,-0.075085324,0.71331058,-0.003412969,0.911262799,-0.048919226,0.625711035,-0.106939704,0.610921502,0.101251422,0.656427759,0.174061433,0.820250284,0.100113766,0.558589306,0.043230944,0.550625711,0.275312856,0.583617747,0.325369738,0.711035267,0.258248009,0.530147895,0.216154721,0.49032992,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.232954545,0.179383117,-0.375811688,0.495941558,-0.403409091,0.782467532,-0.387175325,1,-0.154220779,0.757305195,-0.114448052,0.907467532,-0.157467532,0.661525974,-0.163149351,0.551948052,0.044642857,0.706168831,0.082792208,0.811688312,-0.008116883,0.528409091,-0.028409091,0.511363636,0.214285714,0.625,0.246753247,0.686688312,0.132305195,0.439935065,0.101461039,0.4375,0.37012987,0.540584416,0.387175325,0.594967532,0.275162338,0.424512987,0.233766234,0.393668831,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.345140781,0.097184378,-0.571298819,0.422343324,-0.634877384,0.760217984,-0.680290645,1,-0.435967302,0.720254314,-0.434150772,0.985467757,-0.412352407,0.742052679,-0.400544959,0.61671208,-0.23342416,0.717529519,-0.237965486,0.966394187,-0.260672116,0.646684832,-0.258855586,0.563124432,-0.046321526,0.676657584,-0.04359673,0.889191644,-0.08719346,0.575840145,-0.08719346,0.49137148,0.150772025,0.61852861,0.131698456,0.76657584,0.082652134,0.550408719,0.086285195,0.475022707,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.301444043,0.144404332,-0.495487365,0.439530686,-0.533393502,0.763537906,-0.55234657,1,-0.364620939,0.750902527,-0.349277978,0.985559567,-0.333935018,0.739169675,-0.336642599,0.630866426,-0.166064982,0.731949458,-0.148916968,0.944945848,-0.181407942,0.634476534,-0.209386282,0.592057762,0.01534296,0.679602888,0.042418773,0.852888087,-0.019855596,0.562274368,-0.047833935,0.525270758,0.198555957,0.612815884,0.202166065,0.739169675,0.141696751,0.537906137,0.126353791,0.490072202,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.29390681,0.135304659,-0.476702509,0.440860215,-0.508960573,0.762544803,-0.525985663,1,-0.33781362,0.746415771,-0.315412186,0.988351254,-0.299283154,0.743727599,-0.308243728,0.630824373,-0.141577061,0.71953405,-0.111111111,0.934587814,-0.14874552,0.625448029,-0.185483871,0.584229391,0.033154122,0.663978495,0.071684588,0.835125448,0.007168459,0.548387097,-0.027777778,0.514336918,0.210573477,0.594982079,0.226702509,0.713261649,0.165770609,0.51344086,0.144265233,0.465949821,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.252548131,0.18799547,-0.411098528,0.4801812,-0.414496036,0.785956965,-0.345413364,0.998867497,-0.25594564,0.764439411,-0.189127973,1,-0.182332956,0.764439411,-0.200453001,0.662514156,-0.070215176,0.723669309,0.006795017,0.911664779,-0.039637599,0.628539071,-0.101925255,0.618346546,0.106455266,0.665911665,0.185730464,0.822197055,0.110985277,0.560588901,0.045300113,0.553793884,0.278595696,0.590033975,0.335220838,0.716874292,0.265005663,0.535673839,0.215175538,0.494903737,,,,,,,,,,,,,,,,,,,,,
A,0,0,-0.199170124,0.236514523,-0.291493776,0.548755187,-0.286307054,0.807053942,-0.225103734,1,-0.098547718,0.699170124,-0.032157676,0.898340249,-0.050829876,0.709543568,-0.07780083,0.564315353,0.064315353,0.627593361,0.137966805,0.81120332,0.072614108,0.566390041,0.018672199,0.439834025,0.225103734,0.539419087,0.287344398,0.705394191,0.196058091,0.470954357,0.136929461,0.354771784,0.372406639,0.430497925,0.407676349,0.581950207,0.329875519,0.430497925,0.28526971,0.343360996,,,,,,,,,,,,,,,,,,,,,
